80,98,80,147,46,16,19,30,79,151,99,65,53,29,4,1,0,13,72,74,103,216,90,89,10,3,4,21,1,3,0,0,0,1,19,20,10,56
81,76,82,156,62,14,12,27,49,194,94,66,40,43,2,3,0,16,44,68,182,230,140,107,18,7,5,14,7,8,1,0,0,1,22,14,16,62
82,96,97,156,49,11,16,19,42,187,137,101,70,32,7,6,2,8,55,76,120,193,129,85,6,3,6,21,5,12,0,5,1,0,15,21,13,49
83,71,64,118,47,12,18,25,52,171,98,71,33,28,9,9,2,19,60,47,142,228,101,94,16,6,5,23,5,18,8,5,2,0,28,17,11,46
84,128,84,142,51,11,25,23,44,143,107,88,68,29,8,6,4,19,40,60,147,186,90,84,17,10,10,18,1,7,3,10,1,0,19,18,13,43
85,102,86,159,44,17,34,27,57,206,127,83,53,8,0,7,6,24,56,51,134,179,77,93,21,7,5,15,1,8,0,2,1,0,23,17,7,72
86,87,78,169,64,9,23,21,50,159,129,99,59,34,2,8,5,16,63,60,112,238,105,104,17,12,13,29,2,9,2,4,0,0,20,9,19,28
87,107,69,160,38,11,22,19,51,154,114,78,55,21,0,4,2,21,97,79,119,166,94,87,16,19,9,18,9,27,12,7,7,1,28,10,25,57
88,94,85,156,59,17,17,29,37,147,107,56,49,30,8,9,1,12,68,68,110,168,93,104,20,5,4,16,5,16,0,4,3,0,25,11,11,63
89,76,55,170,81,4,29,30,56,135,68,61,56,37,17,9,6,23,63,54,123,206,65,73,6,2,12,25,6,12,2,7,2,3,22,9,14,31
90,81,84,149,60,13,20,19,48,153,97,76,65,38,16,5,3,16,70,62,135,137,95,93,8,11,6,21,1,28,1,8,2,0,37,10,22,45
91,99,136,159,45,14,19,49,77,146,133,85,74,46,3,11,3,17,79,78,125,167,93,103,9,6,11,32,5,24,0,4,0,2,43,28,31,66
92,109,86,142,81,13,18,30,71,161,122,75,63,46,12,9,1,27,71,43,129,162,108,108,11,20,7,28,7,20,1,6,7,2,34,30,16,37
93,64,55,161,54,11,34,17,49,125,92,83,64,24,11,24,3,16,38,40,87,138,95,103,19,6,10,28,3,24,4,7,1,0,18,19,14,29
94,52,46,99,30,12,24,19,37,75,79,48,25,29,1,8,0,16,49,52,50,80,54,67,12,8,5,9,1,11,0,7,3,0,21,12,9,23
95,38,29,91,21,7,14,6,25,66,97,51,31,11,4,6,2,5,31,27,36,62,57,72,3,2,11,14,3,14,1,7,0,0,13,11,11,15
96,35,33,58,28,3,10,6,11,70,47,30,16,18,1,5,3,5,51,25,39,76,42,64,3,1,0,3,2,8,0,2,1,0,18,11,9,12
97,22,27,45,16,13,11,3,22,66,46,25,18,13,11,2,1,6,14,12,32,47,53,59,7,4,3,7,1,5,2,1,2,0,5,7,1,10
98,20,27,29,11,2,2,3,17,43,22,16,18,22,1,3,1,0,20,19,40,42,41,60,7,3,7,7,1,6,0,1,1,0,16,0,3,6
99,23,20,25,4,3,5,4,13,34,36,11,11,19,1,1,0,4,8,11,28,36,30,37,2,0,1,7,2,12,6,0,0,0,8,8,0,6
100,22,20,22,9,3,7,6,8,16,39,6,4,6,0,3,2,8,16,17,22,35,20,41,4,1,7,4,0,3,1,5,0,1,4,2,7,10
101,18,12,26,7,0,4,6,8,26,16,8,7,7,0,1,0,6,15,15,13,40,21,34,3,3,3,3,1,10,0,1,0,0,11,8,4,4
102,14,21,31,4,3,3,5,4,35,26,13,4,2,0,3,0,0,21,19,15,40,22,29,6,2,3,10,1,4,0,4,2,0,3,5,6,8
103,6,10,20,4,4,3,0,8,31,24,23,11,5,3,0,0,5,5,15,23,40,22,34,7,2,5,6,2,9,2,0,0,0,4,4,0,1
104,4,8,8,5,2,4,3,4,22,27,7,5,8,2,3,2,2,4,7,14,21,23,18,5,0,2,0,1,4,6,0,0,0,6,3,2,8
105,13,6,14,5,1,4,1,6,14,20,9,12,3,0,1,0,2,2,1,7,20,19,16,7,0,1,4,1,9,1,0,1,0,3,2,0,4
106,4,12,12,5,2,0,2,9,24,20,8,12,9,0,4,0,0,13,10,22,20,24,26,5,1,3,4,1,8,1,2,5,0,5,0,0,4
